Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
126423172,Familia,Lauren E. Rico,"Rico, Lauren E.",,"=""1496744640""","=""9781496744647""",5,Kensington,Paperback,320,2023,2023,2024/01/12,2024/01/02,,,read,,,,1,0
62365905,We Could Be So Good,Cat Sebastian,"Sebastian, Cat",,"=""0063272768""","=""9780063272767""",3,Avon,Paperback,384,2023,2023,2024/01/11,2024/01/08,,,read,,,,1,0
61214136,The Collected Regrets of Clover,Mikki Brammer,"Brammer, Mikki",,"=""1250284392""","=""9781250284396""",5,St Martin's Press,Hardcover,320,2023,2023,2024/01/07,2024/01/02,,,read,,,,1,0
62047984,Yellowface,R.F. Kuang,"Kuang, R.F.",,"=""""","=""""",5,William Morrow,Paperback,319,2023,2023,2023/12/01,2024/01/02,,,read,,,,1,0
61718053,Happy Place,Emily Henry,"Henry, Emily",,"=""0593441273""","=""9780593441275""",5,Berkley,Hardcover,400,2023,2023,2023/12/01,2024/01/02,,,read,,,,1,0
62926992,The Wishing Game,Meg Shaffer,"Shaffer, Meg",,"=""0593598830""","=""9780593598832""",4,Ballantine Books,Hardcover,278,2023,2023,2023/12/01,2024/01/02,,,read,,,,1,0
62049729,The Celebrants,Steven  Rowley,"Rowley, Steven",,"=""0593540425""","=""9780593540428""",4,G.P. Putnam's Sons,Hardcover,320,2023,2023,2023/12/01,2024/01/02,,,read,,,,1,0
59366244,I'm Glad My Mom Died,Jennette McCurdy,"McCurdy, Jennette",,"=""1982185821""","=""9781982185824""",5,Simon & Schuster,Hardcover,304,2022,2022,2023/12/01,2024/01/03,,,read,,,,1,0
59089704,This Time Tomorrow,Emma Straub,"Straub, Emma",,"=""052553900X""","=""9780525539001""",5,Riverhead Books,Hardcover,310,2022,2022,2023/12/01,2024/01/03,,,read,,,,1,0
58468990,The Paris Apartment,Lucy Foley,"Foley, Lucy",,"=""0063003058""","=""9780063003057""",5,William Morrow,Hardcover,360,2022,2022,2023/12/01,2024/01/03,,,read,,,,1,0
54985743,People We Meet on Vacation,Emily Henry,"Henry, Emily",,"=""1984806750""","=""9781984806758""",3,"A Jove Book, Berkley",Paperback,361,2021,2021,2023/12/01,2024/01/03,,,read,,,,1,0
32620332,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""1501139231""","=""9781501139239""",5,Atria Books,Hardcover,389,2017,2017,2023/12/01,2024/01/03,,,read,,,,1,0
40097951,The Silent Patient,Alex Michaelides,"Michaelides, Alex",,"=""1250301696""","=""9781250301697""",5,Celadon Books,Hardcover,336,2019,2019,2023/12/01,2024/01/03,,,read,,,,1,0
58784475,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,"Zevin, Gabrielle",,"=""0735243344""","=""9780735243347""",5,Knopf,Hardcover,399,2022,2022,2023/12/01,2024/01/03,,,read,,,,1,0
58690308,Book Lovers,Emily Henry,"Henry, Emily",,"=""0593334833""","=""9780593334836""",5,Berkley,Paperback,377,2022,2022,2023/12/01,2024/01/03,,,read,,,,1,0
54911607,The Guest List,Lucy Foley,"Foley, Lucy",,"=""0062868934""","=""9780062868930""",4,William Morrow,Hardcover,313,2020,2020,2023/12/01,2024/01/03,,,read,,,,1,0
51791252,The Vanishing Half,Brit Bennett,"Bennett, Brit",,"=""0525536299""","=""9780525536291""",4,Riverhead Books,Hardcover,343,2020,2020,2023/12/01,2024/01/03,,,read,,,,1,0
